Epoch 1, Training Loss: 1.368901252746582, Validation Loss: 1.6337, Validation Accuracy: 0.4250, Highest Validation Accuracy
Epoch 17, Training Loss: 0.5048535466194153, Validation Loss: 1.6942, Validation Accuracy: 0.5701, Highest Validation Accuracy 
Epoch 18, Training Loss: 0.4592577815055847, Validation Loss: 1.7096, Validation Accuracy: 0.5566, Highest Validation Accuracy 
Epoch 19, Training Loss: 0.40606361627578735, Validation Loss: 1.8129, Validation Accuracy: 0.5725, Highest Validation Accuracy 
Epoch 20, Training Loss: 0.3178480267524719, Validation Loss: 1.8823, Validation Accuracy: 0.5548, Highest Validation Accuracy 
Epoch 21, Training Loss: 0.31413570046424866, Validation Loss: 1.7879, Validation Accuracy: 0.5642, Highest Validation Accuracy 
Epoch 22, Training Loss: 0.3665221631526947, Validation Loss: 2.1007, Validation Accuracy: 0.5436, Highest Validation Accuracy 
Epoch 23, Training Loss: 0.3873055875301361, Validation Loss: 1.9654, Validation Accuracy: 0.5628, Highest Validation Accuracy 
Epoch 24, Training Loss: 0.5728311538696289, Validation Loss: 1.9801, Validation Accuracy: 0.5705, Highest Validation Accuracy 
Epoch 25, Training Loss: 0.48667407035827637, Validation Loss: 2.0936, Validation Accuracy: 0.5710, Highest Validation Accuracy 
Epoch 26, Training Loss: 0.39531949162483215, Validation Loss: 2.1597, Validation Accuracy: 0.5732, Highest Validation Accuracy 
Epoch 27, Training Loss: 0.3521723747253418, Validation Loss: 2.1106, Validation Accuracy: 0.5657, Highest Validation Accuracy 
Epoch 28, Training Loss: 0.2687661349773407, Validation Loss: 2.2336, Validation Accuracy: 0.5764, Highest Validation Accuracy 
Epoch 29, Training Loss: 0.3406130075454712, Validation Loss: 2.2780, Validation Accuracy: 0.5711, Highest Validation Accuracy 
Epoch 30, Training Loss: 0.29207080602645874, Validation Loss: 2.3827, Validation Accuracy: 0.5634, Highest Validation Accuracy 
Epoch 31, Training Loss: 0.16755171120166779, Validation Loss: 2.3618, Validation Accuracy: 0.5721, Highest Validation Accuracy 
Epoch 32, Training Loss: 0.36803773045539856, Validation Loss: 2.3448, Validation Accuracy: 0.5831, Highest Validation Accuracy 
Epoch 33, Training Loss: 0.19425345957279205, Validation Loss: 2.3272, Validation Accuracy: 0.5779, Highest Validation Accuracy 
Epoch 34, Training Loss: 0.13321033120155334, Validation Loss: 2.4773, Validation Accuracy: 0.5867, Highest Validation Accuracy 
Epoch 35, Training Loss: 0.209636852145195, Validation Loss: 2.3509, Validation Accuracy: 0.5953, Highest Validation Accuracy 
Epoch 36, Training Loss: 0.16670283675193787, Validation Loss: 2.6075, Validation Accuracy: 0.5806, Highest Validation Accuracy 
Epoch 37, Training Loss: 0.21223942935466766, Validation Loss: 2.8142, Validation Accuracy: 0.5754, Highest Validation Accuracy 
Epoch 38, Training Loss: 0.16662690043449402, Validation Loss: 2.6642, Validation Accuracy: 0.5738, Highest Validation Accuracy 
Epoch 39, Training Loss: 0.21373264491558075, Validation Loss: 2.7932, Validation Accuracy: 0.5791, Highest Validation Accuracy 
Epoch 40, Training Loss: 0.30446216464042664, Validation Loss: 3.0110, Validation Accuracy: 0.5733, Highest Validation Accuracy 
Epoch 41, Training Loss: 0.12012239545583725, Validation Loss: 2.8354, Validation Accuracy: 0.5810, Highest Validation Accuracy 
Epoch 42, Training Loss: 0.09510087221860886, Validation Loss: 2.8780, Validation Accuracy: 0.5814, Highest Validation Accuracy 
Epoch 43, Training Loss: 0.10137132555246353, Validation Loss: 3.1800, Validation Accuracy: 0.5774, Highest Validation Accuracy 
Epoch 44, Training Loss: 0.12015758454799652, Validation Loss: 3.2233, Validation Accuracy: 0.5839, Highest Validation Accuracy 
Epoch 45, Training Loss: 0.16280245780944824, Validation Loss: 3.0839, Validation Accuracy: 0.5821, Highest Validation Accuracy 
Epoch 46, Training Loss: 0.2609751522541046, Validation Loss: 3.3864, Validation Accuracy: 0.5762, Highest Validation Accuracy 
Epoch 47, Training Loss: 0.15094192326068878, Validation Loss: 3.6389, Validation Accuracy: 0.5755, Highest Validation Accuracy 
Epoch 48, Training Loss: 0.09652191400527954, Validation Loss: 3.4424, Validation Accuracy: 0.5866, Highest Validation Accuracy 
Epoch 49, Training Loss: 0.34975841641426086, Validation Loss: 3.6676, Validation Accuracy: 0.5768, Highest Validation Accuracy 
Epoch 50, Training Loss: 0.10356732457876205, Validation Loss: 3.7492, Validation Accuracy: 0.5862, Highest Validation Accuracy 
Epoch 51, Training Loss: 0.9070025682449341, Validation Loss: 3.3690, Validation Accuracy: 0.5845, Highest Validation Accuracy 
Epoch 52, Training Loss: 0.08688826858997345, Validation Loss: 3.4394, Validation Accuracy: 0.5839, Highest Validation Accuracy 
Epoch 53, Training Loss: 0.07094207406044006, Validation Loss: 3.8067, Validation Accuracy: 0.5790, Highest Validation Accuracy 
Epoch 54, Training Loss: 0.2432870864868164, Validation Loss: 3.5016, Validation Accuracy: 0.5887, Stopping training after 50 epochs without improvement in validation loss
