Epoch 1, Training Loss: 2.2170684337615967, Validation Loss: 2.2204, Validation Accuracy: 0.2413
Epoch 85, Training Loss: 1.1690263748168945, Validation Loss: 305.0114, Validation Accuracy: 0.6600
Epoch 86, Training Loss: 1.5500494241714478, Validation Loss: 1.5252, Validation Accuracy: 0.5172
Epoch 87, Training Loss: 0.806739330291748, Validation Loss: 1.1481, Validation Accuracy: 0.6431
Epoch 88, Training Loss: 0.8131398558616638, Validation Loss: 1.0933, Validation Accuracy: 0.6616
Epoch 89, Training Loss: 0.9476848840713501, Validation Loss: 1.1368, Validation Accuracy: 0.6770
Epoch 90, Training Loss: 0.6321481466293335, Validation Loss: 1.0839, Validation Accuracy: 0.6646
Epoch 91, Training Loss: 0.5173649191856384, Validation Loss: 1.0646, Validation Accuracy: 0.6707
Epoch 92, Training Loss: 0.5441073179244995, Validation Loss: 1.0231, Validation Accuracy: 0.6911
Epoch 93, Training Loss: 0.385922372341156, Validation Loss: 0.9667, Validation Accuracy: 0.7037
Epoch 94, Training Loss: 0.7678743600845337, Validation Loss: 1.1271, Validation Accuracy: 0.6524
Epoch 95, Training Loss: 0.6787503361701965, Validation Loss: 1.0183, Validation Accuracy: 0.6881
Epoch 96, Training Loss: 0.5389454364776611, Validation Loss: 24.1428, Validation Accuracy: 0.7110
Epoch 97, Training Loss: 0.43351930379867554, Validation Loss: 1.0185, Validation Accuracy: 0.6894
Epoch 98, Training Loss: 0.44818025827407837, Validation Loss: 0.9109, Validation Accuracy: 0.7224
Epoch 99, Training Loss: 0.459510862827301, Validation Loss: 0.9302, Validation Accuracy: 0.7133
Epoch 100, Training Loss: 0.4030948579311371, Validation Loss: 0.9442, Validation Accuracy: 0.7085
