Epoch 1, Training Loss: 1.909376621246338, Validation Loss: 2.0074, Validation Accuracy: 0.2721
Epoch 53, Training Loss: 1.2650282382965088, Validation Loss: 1.4345, Validation Accuracy: 0.4982
Epoch 54, Training Loss: 1.3051272630691528, Validation Loss: 1.4197, Validation Accuracy: 0.5196
Epoch 55, Training Loss: 1.234969973564148, Validation Loss: 1.3474, Validation Accuracy: 0.5328
Epoch 56, Training Loss: 1.1784981489181519, Validation Loss: 1.3453, Validation Accuracy: 0.5200
Epoch 57, Training Loss: 1.251319408416748, Validation Loss: 1.3481, Validation Accuracy: 0.5376
Epoch 58, Training Loss: 1.2688958644866943, Validation Loss: 1.3108, Validation Accuracy: 0.5522
Epoch 59, Training Loss: 1.2054122686386108, Validation Loss: 1.3150, Validation Accuracy: 0.5347
Epoch 60, Training Loss: 1.1761704683303833, Validation Loss: 1.3367, Validation Accuracy: 0.5341
Epoch 61, Training Loss: 1.3053343296051025, Validation Loss: 1.2781, Validation Accuracy: 0.5578
Epoch 62, Training Loss: 1.2592229843139648, Validation Loss: 1.2722, Validation Accuracy: 0.5659
Epoch 63, Training Loss: 1.2906275987625122, Validation Loss: 1.3190, Validation Accuracy: 0.5558
Epoch 64, Training Loss: 1.1561757326126099, Validation Loss: 1.2605, Validation Accuracy: 0.5643
Epoch 65, Training Loss: 1.1520087718963623, Validation Loss: 1.2523, Validation Accuracy: 0.5669
Epoch 66, Training Loss: 2.059628963470459, Validation Loss: 2.3998, Validation Accuracy: 0.2102
Epoch 67, Training Loss: 2.0875930786132812, Validation Loss: 2.1271, Validation Accuracy: 0.2085
Epoch 68, Training Loss: 1.6961828470230103, Validation Loss: 1.8261, Validation Accuracy: 0.3765
Epoch 69, Training Loss: 1.5509955883026123, Validation Loss: 1.6495, Validation Accuracy: 0.4375
Epoch 70, Training Loss: 1.5534329414367676, Validation Loss: 1.5786, Validation Accuracy: 0.4490
Epoch 71, Training Loss: 1.4424006938934326, Validation Loss: 1.5571, Validation Accuracy: 0.4463
Epoch 72, Training Loss: 1.2966983318328857, Validation Loss: 1.4859, Validation Accuracy: 0.4880
Epoch 73, Training Loss: 1.296705961227417, Validation Loss: 1.4693, Validation Accuracy: 0.4924
Epoch 74, Training Loss: 1.2691606283187866, Validation Loss: 1.3812, Validation Accuracy: 0.5258
Epoch 75, Training Loss: 1.3056676387786865, Validation Loss: 1.3868, Validation Accuracy: 0.5165
Epoch 76, Training Loss: 1.1799299716949463, Validation Loss: 1.4135, Validation Accuracy: 0.4903
Epoch 77, Training Loss: 1.1901575326919556, Validation Loss: 1.3699, Validation Accuracy: 0.5254
Epoch 78, Training Loss: 1.2323201894760132, Validation Loss: 1.3254, Validation Accuracy: 0.5423
Epoch 79, Training Loss: 1.1911969184875488, Validation Loss: 1.3645, Validation Accuracy: 0.5162
Epoch 80, Training Loss: 1.157073974609375, Validation Loss: 1.2892, Validation Accuracy: 0.5446
Epoch 81, Training Loss: 1.1342450380325317, Validation Loss: 1.2942, Validation Accuracy: 0.5675
Epoch 82, Training Loss: 1.2422890663146973, Validation Loss: 1.3180, Validation Accuracy: 0.5445
Epoch 83, Training Loss: 1.1760797500610352, Validation Loss: 1.2685, Validation Accuracy: 0.5585
Epoch 84, Training Loss: 1.1606374979019165, Validation Loss: 1.3013, Validation Accuracy: 0.5507
Epoch 85, Training Loss: 1.083295226097107, Validation Loss: 1.2287, Validation Accuracy: 0.5769
Epoch 86, Training Loss: 1.1522860527038574, Validation Loss: 1.2382, Validation Accuracy: 0.5775
Epoch 87, Training Loss: 1.084430456161499, Validation Loss: 1.2431, Validation Accuracy: 0.5675
Epoch 88, Training Loss: 1.141313076019287, Validation Loss: 1.7195, Validation Accuracy: 0.5491
Epoch 89, Training Loss: 1.0547473430633545, Validation Loss: 1.2663, Validation Accuracy: 0.5670
Epoch 90, Training Loss: 1.0582727193832397, Validation Loss: 1.2320, Validation Accuracy: 0.5738
Epoch 92, Training Loss: 1.157604455947876, Validation Loss: 1.2730, Validation Accuracy: 0.5665
